"id","marketing_channel","account_creation_method","country_code","loyalty_program","created_on"
"48c3241c","","tv","NZ",1,"2021-03-02"
"1001a4c1","","tv","US",1,"2020-06-28"
"33c0b462","","tv","US",1,"2020-07-04"
"9c9f5d04","","tv","US",1,"2020-07-14"
"9577c084","","tv","US",1,"2021-03-27"
"def828b5","","tv","ES",0,"2022-08-22"
"83ebf5f2","","tv","US",0,"2021-12-14"
"04e17b20","","tv","US",0,"2021-04-04"
"7a52a4ff","","tv","US",1,"2019-11-13"
"77794f03","","tv","US",1,"2020-08-03"
"36df9ec5","","tv","US",1,"2021-12-30"
"869bd05d","","tv","US",1,"2020-08-06"
"281c1e92","","tv","AU",1,"2019-11-26"
"b50b5d3c","","tv","US",1,"2021-04-26"
"9e5dd420","","tv","US",1,"2019-12-06"
"b64a116f","","tv","US",1,"2021-05-01"
"b05859a1","","tv","JP",0,"2021-05-04"
"970a9f17","","tv","US",1,"2021-05-16"
"17b6acad","","tv","US",1,"2022-01-29"
"5cee2b5c","","tv","US",1,"2020-01-05"
"9348e7ba","","tv","BR",1,"2020-01-14"
"128f1dca","","tv","US",1,"2021-06-21"
"ad0b128f","","tv","US",1,"2020-01-31"
"a7c3a0f8","","tv","HU",1,"2020-10-24"
"0ce0995a","","tv","US",1,"2020-02-14"
"878b946c","","tv","US",1,"2021-07-11"
"bf697784","","tv","GB",1,"2020-02-17"
"13c8f071","","tv","US",0,"2020-11-06"
"f3677feb","","tv","US",1,"2022-04-02"
"1e86c7fc","","tv","US",1,"2020-03-02"
"6ea27580","","tv","BR",1,"2020-11-17"
"19ee2d59","","tv","US",0,"2018-10-28"
"84681090","","tv","US",1,"2020-04-06"
"9d636f14","","tv","US",1,"2020-04-06"
"b38c34d3","","tv","US",1,"2020-04-13"
"b18548a2","","tv","JP",0,"2020-12-27"
"d0ff2fda","","tv","NO",1,"2021-09-10"
"13e868da","","tv","US",1,"2021-01-01"
"70983a85","","tv","US",1,"2021-09-19"
"8cfdf4f2","","tv","US",1,"2021-01-09"
"bd3ca07d","","tv","CL",1,"2021-09-22"
"99c977f2","","tv","US",1,"2021-09-24"
"cbed4a72","","tv","AT",1,"2021-01-12"
"be8e1c22","","tv","CA",1,"2021-01-18"
"a166e82f","","tv","US",0,"2018-12-14"
"9339713e","","tv","US",0,"2018-12-17"
"1203a274","","tv","US",0,"2018-12-30"
"ea26c08e","","tv","US",0,"2019-09-26"
"f9f7260f","","tv","US",1,"2019-01-14"
"73c251f7","","tv","GB",1,"2021-11-05"
"f641b6c8","","tv","US",1,"2021-02-24"
"59c9e30b","","","US",1,"2021-11-13"
"ebe56912","","","US",1,"2022-07-27"
"8be194d3","","","GB",1,"2021-03-03"
"68345fea","","","US",1,"2021-11-14"
"1e5bcb9b","","","ES",1,"2021-11-14"
"a6d67a42","","","IN",0,"2020-06-21"
"1d8facab","","","HK",1,"2021-11-15"
"d3d04900","","","CA",0,"2022-07-29"
"11734315","","","US",0,"2022-07-29"
"e084adaa","","","US",0,"2020-06-22"
"eb87a015","","","US",0,"2021-03-06"
"0c7bc389","","","CA",0,"2021-11-17"
"27633436","","","CZ",1,"2022-07-31"
"d705ef2f","","","US",0,"2022-07-31"
"0b87b95d","","","JP",1,"2022-07-31"
"52b7f51b","","","US",0,"2022-07-31"
"9d35b3a4","","","US",1,"2022-07-31"
"4b5e4ef9","","","US",1,"2022-07-31"
"aea24042","","","US",0,"2020-06-24"
"3f83ef5d","","","US",1,"2021-03-07"
"3f1a05ee","","","US",1,"2021-11-18"
"06bd80a1","","","US",1,"2022-08-01"
"00e54666","","","SG",1,"2022-08-02"
"17f46920","","","PL",0,"2021-11-20"
"7993d435","","","US",1,"2022-08-03"
"935a1129","","","US",0,"2022-08-03"
"1eba93db","","","US",1,"2021-03-10"
